,product_name,product_image,product_price
101,Sơ mi tay dài nhún eo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220827/CC_001213_thumb.jpg,"350,000đ"
102,Sơ mi kiểu 2 tà TT cổ đức,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_6230_thumb.jpg,"340,000đ"
103,Váy cổ 2 ve dáng suông,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Vay_co_2_ve_dang_suong__1_thumb.jpg,"719,000đ"
104,Chân váy cạp cao xẻ 2V,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CCO_000946_thumb.jpg,"339,000đ"
105,Set bộ áo chân váy vạt lệch,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Set_bo_ao_chan_vay_vat_lech__4_thumb.jpg,"730,000đ"
106,Áo rút dây eo tay dơi,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220728/DSC_9100_thumb.jpg,"289,000đ"
107,Áo Sơ mi giả váy 4 nắp túi giả,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Ao_So_mi_gia_vay_4_nap_tui_gia__1_thumb.jpg,"409,000đ"
108,Áo cutout vai,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Ao_cutout_vai__1_thumb.jpg,"280,000đ"
109,Sơ mi cá eo vạt gấu lệch,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8628_thumb.jpg,"299,000đ"
110,Sơ mi tay bồng chỉ chun ngực,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/So_mi_tay_bong_chi_chun_nguc__6_thumb.jpg,"299,000đ"
111,Áo thun cổ nữ hoàng 3 cúc,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8404_thumb.jpg,Liên hệ
112,Blazer dáng suông 2HK,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220827/CC_001111_thumb.jpg,"710,000đ"
113,Váy cổ lệch nhún ngực TT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_9670_thumb.jpg,"479,000đ"
114,Váy cổ đức khuy kim loại,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_4444_thumb.jpg,"500,000đ"
115,Quần baggy tà lệch phối,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220827/CC_000969_thumb.jpg,"450,000đ"
116,Áo sơ mi trơn rúm trước,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CCO_000946_thumb.jpg,"320,000đ"
117,Váy cổ nữ hoàng nhún dây,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220714/CC_000424_thumb.jpg,"610,000đ"
118,Váy bèo đuôi cá 2 tầng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220830/CC_000560_thumb.jpg,"439,000đ"
119,Váy xòe cổ nữ hoàng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220817/DSC_0554_thumb.jpg,"599,000đ"
120,Chân váy xếp ly ngắn,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220817/DSC_0771_thumb.jpg,"390,000đ"
121,Quần Jogger thể thao basic,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220827/CC_001508_thumb.jpg,"349,000đ"
122,Sơ mi phối cầu vai cổ đức,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CCO_000779_thumb.jpg,"299,000đ"
123,Váy cổ tròn vai chờm,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220728/DSC_9886_thumb.jpg,"589,000đ"
124,Áo sơ mi tràn vai,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8522_thumb.jpg,"400,000đ"
125,Áo trễ vai tay dài ôm eo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Ao_tre_vai_tay_dai_om_eo__1_thumb.jpg,"449,000đ"
126,Váy cổ tròn 2 hàng khuy,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220817/DSC_0812_thumb.jpg,"470,000đ"
127,Váy HT cổ tàu tay lỡ xòe,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_0429_thumb.jpg,"649,000đ"
128,Váy cổ V rút nhún ngực,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/12VDS8010XT__2_thumb.jpg,"489,000đ"
129,Chân váy cạp tà lệch NT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_8548_thumb.jpg,"339,000đ"
130,Quần short vạt nhọn lệch,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_0943_thumb.jpg,"330,000đ"
131,Áo sơ mi nẹp dây trang trí,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220817/DSC_1343_thumb.jpg,"260,000đ"
132,Váy cổ tròn tay nhún xếp,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_0017_1_thumb.jpg,"569,000đ"
133,Váy vai chờm cổ tròn xẻ V,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_8456_thumb.jpg,"500,000đ"
134,Quần suông dài túi chéo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_9797_thumb.jpg,"400,000đ"
135,Váy cổ dây chéo tay cộc,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_0139_thumb.jpg,"560,000đ"
136,Chân váy dập ly dáng dài,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Chan_vay_dap_ly_dang_dai__1_thumb.jpg,"500,000đ"
137,Váy tay lỡ xòe cổ bản lớn,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_8711_thumb.jpg,"639,000đ"
138,Quần short cạp cao lơ vê,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CC_000581_thumb.jpg,"309,000đ"
139,Áo cổ đức kèm quây,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_9797_thumb.jpg,"330,000đ"
140,Sơ mi tơ kẻ 2 túi ốp,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_0940_thumb.jpg,"350,000đ"
141,Quần bom ly lật cá gấu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220823/DSC_0525_thumb.jpg,"420,000đ"
142,Áo trễ vai dập ly cuốn bèo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_8832_thumb.jpg,"410,000đ"
143,Blazer cổ ve sâu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Blazer_co_ve_sau__1_thumb.jpg,"750,000đ"
144,Váy hai dây nhúm bèo midi,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_0353_thumb.jpg,"590,000đ"
145,Sơ mi 2 nắp túi tôm bầu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/So_mi_2_nap_tui_tom_bau__9_thumb.jpg,"379,000đ"
146,Quần suông phối dây đai da,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220823/DSC_0011_thumb.jpg,"479,000đ"
147,Quần sooc túi cơi nổi,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220817/DSC_1268_thumb.jpg,"329,000đ"
148,Quần dáng baggy gấu phối lật,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220823/DSC_0122_thumb.jpg,"340,000đ"
149,Chân váy bút chì khóa đồng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_1014_thumb.jpg,"479,000đ"
150,Chân váy dập ly dây dệt thêu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_1132_thumb.jpg,"570,000đ"
151,Quần sooc chun túi gấu to,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8647_thumb.jpg,"320,000đ"
152,Đầm A bổ mảnh xẻ trước,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_0893_thumb.jpg,"500,000đ"
153,Váy phối cổ nữ hoàng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220714/CC_000367_thumb.jpg,"529,000đ"
154,Sơ mi trơn cổ đức vạt tôm,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220830/72FDV2004ST_b13.jpg,"329,000đ"
155,Áo cổ vuông bèo nơ 2 vai,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_4143_thumb.jpg,"360,000đ"
156,Jum HT tay gấu rủ bèo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000153_thumb.jpg,"540,000đ"
157,Sơ mi vạt chéo buộc dây,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000969_thumb.jpg,"300,000đ"
158,Quần sooc 2 ly cạp liền,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_8832_thumb.jpg,"249,000đ"
159,Váy HT cổ dây bắt chéo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220905/CC_3307_thumb.jpg,"459,000đ"
160,Sét 2 dây ren quần suông,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220824/CCO_000683_thumb.jpg,"540,000đ"
161,Áo thun cổ U 2 dây,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220831/CC_000894_thumb.jpg,"159,000đ"
162,Váy cổ 2 ve dáng A,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Vay_co_2_ve_dang_A__1_thumb.jpg,"539,000đ"
163,Sét áo cổ nữ hoàng nhún,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_6104__1__thumb.jpg,"500,000đ"
164,Áo cổ sam sát nách túi ốp,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8465_thumb.jpg,"450,000đ"
